time,priority 1,pri1 / min,% of total pri1,priority 2,pri2 / min,% of total pri2,priority 3,pri3 / min,% of total pri3
2023-10-17 02:00:00,7,0.7,1.09,1,0.1,0.22,7,0.7,0.86
2023-10-17 02:10:00,9,0.9,1.4,13,1.3,2.9,11,1.1,1.35
2023-10-17 02:20:00,14,1.4,2.18,5,0.5,1.11,20,2.0,2.45
2023-10-17 02:30:00,14,1.4,2.18,2,0.2,0.45,17,1.7,2.08
2023-10-17 02:40:00,13,1.3,2.02,24,2.4,5.35,21,2.1,2.57
2023-10-17 02:50:00,16,1.6,2.49,5,0.5,1.11,26,2.6,3.18
2023-10-17 03:00:00,7,0.7,1.09,0,0.0,0.0,7,0.7,0.86
2023-10-17 03:10:00,15,1.5,2.33,18,1.8,4.01,16,1.6,1.96
2023-10-17 03:20:00,9,0.9,1.4,0,0.0,0.0,17,1.7,2.08
2023-10-17 03:30:00,14,1.4,2.18,2,0.2,0.45,16,1.6,1.96
2023-10-17 03:40:00,12,1.2,1.87,10,1.0,2.23,19,1.9,2.33
2023-10-17 03:50:00,14,1.4,2.18,26,2.6,5.79,25,2.5,3.06
2023-10-17 04:00:00,13,1.3,2.02,0,0.0,0.0,16,1.6,1.96
2023-10-17 04:10:00,13,1.3,2.02,16,1.6,3.56,15,1.5,1.84
2023-10-17 04:20:00,15,1.5,2.33,0,0.0,0.0,18,1.8,2.2
2023-10-17 04:30:00,8,0.8,1.24,3,0.3,0.67,8,0.8,0.98
2023-10-17 04:40:00,15,1.5,2.33,11,1.1,2.45,17,1.7,2.08
2023-10-17 04:50:00,8,0.8,1.24,0,0.0,0.0,11,1.1,1.35
2023-10-17 05:00:00,11,1.1,1.71,0,0.0,0.0,11,1.1,1.35
2023-10-17 05:10:00,15,1.5,2.33,4,0.4,0.89,16,1.6,1.96
2023-10-17 05:20:00,17,1.7,2.64,0,0.0,0.0,19,1.9,2.33
2023-10-17 05:30:00,7,0.7,1.09,5,0.5,1.11,10,1.0,1.22
2023-10-17 05:40:00,18,1.8,2.8,11,1.1,2.45,22,2.2,2.69
2023-10-17 05:50:00,2,0.2,0.31,5,0.5,1.11,7,0.7,0.86
2023-10-17 06:00:00,12,1.2,1.87,12,1.2,2.67,14,1.4,1.71
2023-10-17 06:10:00,19,1.9,2.95,11,1.1,2.45,40,4.0,4.9
2023-10-17 06:20:00,15,1.5,2.33,2,0.2,0.45,27,2.7,3.3
2023-10-17 06:30:00,6,0.6,0.93,16,1.6,3.56,16,1.6,1.96
2023-10-17 06:40:00,11,1.1,1.71,13,1.3,2.9,15,1.5,1.84
2023-10-17 06:50:00,11,1.1,1.71,5,0.5,1.11,21,2.1,2.57
2023-10-17 07:00:00,11,1.1,1.71,28,2.8,6.24,11,1.1,1.35
2023-10-17 07:10:00,11,1.1,1.71,11,1.1,2.45,19,1.9,2.33
2023-10-17 07:20:00,6,0.6,0.93,6,0.6,1.34,7,0.7,0.86
2023-10-17 07:30:00,10,1.0,1.56,10,1.0,2.23,11,1.1,1.35
2023-10-17 07:40:00,2,0.2,0.31,9,0.9,2.0,3,0.3,0.37
2023-10-17 07:50:00,3,0.3,0.47,6,0.6,1.34,7,0.7,0.86
2023-10-17 08:00:00,1,0.1,0.16,17,1.7,3.79,2,0.2,0.24
2023-10-17 08:10:00,5,0.5,0.78,0,0.0,0.0,9,0.9,1.1
2023-10-17 08:20:00,10,1.0,1.56,8,0.8,1.78,13,1.3,1.59
2023-10-17 08:30:00,7,0.7,1.09,11,1.1,2.45,16,1.6,1.96
2023-10-17 08:40:00,13,1.3,2.02,2,0.2,0.45,15,1.5,1.84
2023-10-17 08:50:00,31,3.1,4.82,13,1.3,2.9,28,2.8,3.43
2023-10-17 09:00:00,21,2.1,3.27,20,2.0,4.45,17,1.7,2.08
2023-10-17 09:10:00,22,2.2,3.42,1,0.1,0.22,20,2.0,2.45
2023-10-17 09:20:00,20,2.0,3.11,7,0.7,1.56,21,2.1,2.57
2023-10-17 09:30:00,11,1.1,1.71,11,1.1,2.45,14,1.4,1.71
2023-10-17 09:40:00,21,2.1,3.27,4,0.4,0.89,15,1.5,1.84
2023-10-17 09:50:00,12,1.2,1.87,21,2.1,4.68,5,0.5,0.61
2023-10-17 10:00:00,15,1.5,2.33,4,0.4,0.89,11,1.1,1.35
2023-10-17 10:10:00,12,1.2,1.87,0,0.0,0.0,11,1.1,1.35
2023-10-17 10:20:00,10,1.0,1.56,12,1.2,2.67,5,0.5,0.61
2023-10-17 10:30:00,11,1.1,1.71,0,0.0,0.0,21,2.1,2.57
2023-10-17 10:40:00,1,0.1,0.16,8,0.8,1.78,5,0.5,0.61
2023-10-17 10:50:00,11,1.1,1.71,19,1.9,4.23,20,2.0,2.45
2023-10-17 11:00:00,4,0.4,0.62,1,0.1,0.22,4,0.4,0.49
2023-10-17 11:10:00,2,0.2,0.31,0,0.0,0.0,2,0.2,0.24
2023-10-17 11:20:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2023-10-17 11:30:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2023-10-17 11:40:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2023-10-17 11:50:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2023-10-17 12:00:00,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
